"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","condition","itemLabel","filename","Comments"
"19",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",5,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000400432,"ALT-IT ONLY","warm_alt","none_clean_2a.jpg","Yes;No"
"20",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",5,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000405595,"ALT-IT ONLY","warm_alt","none_clean_2a.jpg","alt2;IT;alt1"
"21",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",5,0,"experimental-trials","NULL","PennController","10","_Trial_","End",1651000406839,"ALT-IT ONLY","warm_alt","none_clean_2a.jpg","NULL"
"22",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",18,0,"fillers","NULL","PennController","23","_Trial_","Start",1651000406839,"f_rhyme","f5_f_rhyme","f5.png","NULL"
"23",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",18,0,"fillers","NULL","PennController","23","_Trial_","End",1651000415706,"f_rhyme","f5_f_rhyme","f5.png","NULL"
"24",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",27,0,"fillers","NULL","PennController","32","_Trial_","Start",1651000415707,"f_norhyme","f18_f_norhyme","f18.png","NULL"
"25",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",27,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000426525,"f_norhyme","f18_f_norhyme","f18.png","alt2;alt1;IT"
"26",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",27,0,"fillers","NULL","PennController","32","_Trial_","End",1651000427700,"f_norhyme","f18_f_norhyme","f18.png","NULL"
"27",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",2,0,"experimental-trials","NULL","PennController","7","_Trial_","Start",1651000427700,"IT ONLY","weightless_it","anapest_clean_1a.jpg","NULL"
"28",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",2,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000437755,"IT ONLY","weightless_it","anapest_clean_1a.jpg","Yes;No"
"29",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",2,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000439021,"IT ONLY","weightless_it","anapest_clean_1a.jpg","alt2;IT;alt1"
"30",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",2,0,"experimental-trials","NULL","PennController","7","_Trial_","End",1651000440095,"IT ONLY","weightless_it","anapest_clean_1a.jpg","NULL"
"31",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",36,0,"fillers","NULL","PennController","41","_Trial_","Start",1651000440096,"f_norhyme","f27_f_norhyme","f27.png","NULL"
"32",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",36,0,"fillers","NULL","Selector","answer-alt","Selection","alt2",1651000457737,"f_norhyme","f27_f_norhyme","f27.png","IT;alt1;alt2"
"33",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",36,0,"fillers","NULL","PennController","41","_Trial_","End",1651000459137,"f_norhyme","f27_f_norhyme","f27.png","NULL"
"34",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",24,0,"fillers","NULL","PennController","29","_Trial_","Start",1651000459138,"f_rhyme","f11_f_rhyme","f11.png","NULL"
"35",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",24,0,"fillers","NULL","PennController","29","_Trial_","End",1651000467294,"f_rhyme","f11_f_rhyme","f11.png","NULL"
"36",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",12,0,"experimental-trials","NULL","PennController","17","_Trial_","Start",1651000467294,"IT%2C ALT-IT","mailed_both","iambic_clean_2b.jpg","NULL"
"37",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",12,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000475245,"IT%2C ALT-IT","mailed_both","iambic_clean_2b.jpg","Yes;No"
"38",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",12,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000476217,"IT%2C ALT-IT","mailed_both","iambic_clean_2b.jpg","alt2;IT;alt1"
"39",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",12,0,"experimental-trials","NULL","PennController","17","_Trial_","End",1651000477227,"IT%2C ALT-IT","mailed_both","iambic_clean_2b.jpg","NULL"
"40",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",17,0,"fillers","NULL","PennController","22","_Trial_","Start",1651000477228,"f_rhyme","f4_f_rhyme","f4.png","NULL"
"41",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",17,0,"fillers","NULL","PennController","22","_Trial_","End",1651000486518,"f_rhyme","f4_f_rhyme","f4.png","NULL"
"42",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",29,0,"fillers","NULL","PennController","34","_Trial_","Start",1651000486518,"f_norhyme","f20_f_norhyme","f20.png","NULL"
"43",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",29,0,"fillers","NULL","Selector","answer-alt","Selection","alt1",1651000501955,"f_norhyme","f20_f_norhyme","f20.png","alt1;IT;alt2"
"44",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",29,0,"fillers","NULL","PennController","34","_Trial_","End",1651000503268,"f_norhyme","f20_f_norhyme","f20.png","NULL"
"45",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",9,0,"experimental-trials","NULL","PennController","14","_Trial_","Start",1651000503269,"ALT-IT ONLY","store_alt","dactyl_clean_1b.jpg","NULL"
"46",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",9,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000511525,"ALT-IT ONLY","store_alt","dactyl_clean_1b.jpg","Yes;No"
"47",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",9,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000515500,"ALT-IT ONLY","store_alt","dactyl_clean_1b.jpg","alt1;alt2;IT"
"48",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",9,0,"experimental-trials","NULL","PennController","14","_Trial_","End",1651000517714,"ALT-IT ONLY","store_alt","dactyl_clean_1b.jpg","NULL"
"49",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",32,0,"fillers","NULL","PennController","37","_Trial_","Start",1651000517715,"f_norhyme","f23_f_norhyme","f23.png","NULL"
"50",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",32,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000528415,"f_norhyme","f23_f_norhyme","f23.png","alt1;IT;alt2"
"51",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",32,0,"fillers","NULL","PennController","37","_Trial_","End",1651000529423,"f_norhyme","f23_f_norhyme","f23.png","NULL"
"52",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",37,0,"fillers","NULL","PennController","42","_Trial_","Start",1651000529424,"f_norhyme","f28_f_norhyme","f28.png","NULL"
"53",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",37,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000538926,"f_norhyme","f28_f_norhyme","f28.png","alt1;alt2;IT"
"54",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",37,0,"fillers","NULL","PennController","42","_Trial_","End",1651000540145,"f_norhyme","f28_f_norhyme","f28.png","NULL"
"55",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",8,0,"experimental-trials","NULL","PennController","13","_Trial_","Start",1651000540145,"IT%2C ALT-IT","weeds_both","iambic_clean_1a.jpg","NULL"
"56",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",8,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000548381,"IT%2C ALT-IT","weeds_both","iambic_clean_1a.jpg","Yes;No"
"57",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",8,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000549666,"IT%2C ALT-IT","weeds_both","iambic_clean_1a.jpg","alt1;alt2;IT"
"58",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",8,0,"experimental-trials","NULL","PennController","13","_Trial_","End",1651000552002,"IT%2C ALT-IT","weeds_both","iambic_clean_1a.jpg","NULL"
"59",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",33,0,"fillers","NULL","PennController","38","_Trial_","Start",1651000552003,"f_norhyme","f24_f_norhyme","f24.png","NULL"
"60",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",33,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000560767,"f_norhyme","f24_f_norhyme","f24.png","alt2;IT;alt1"
"61",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",33,0,"fillers","NULL","PennController","38","_Trial_","End",1651000561784,"f_norhyme","f24_f_norhyme","f24.png","NULL"
"62",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",30,0,"fillers","NULL","PennController","35","_Trial_","Start",1651000561784,"f_norhyme","f21_f_norhyme","f21.png","NULL"
"63",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",30,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000572375,"f_norhyme","f21_f_norhyme","f21.png","alt1;alt2;IT"
"64",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",30,0,"fillers","NULL","PennController","35","_Trial_","End",1651000574566,"f_norhyme","f21_f_norhyme","f21.png","NULL"
"65",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",10,0,"experimental-trials","NULL","PennController","15","_Trial_","Start",1651000574566,"IT ONLY","exhausted_it","trochaic_clean_3a.png","NULL"
"66",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",10,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000583387,"IT ONLY","exhausted_it","trochaic_clean_3a.png","Yes;No"
"67",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",10,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000584799,"IT ONLY","exhausted_it","trochaic_clean_3a.png","IT;alt1;alt2"
"68",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",10,0,"experimental-trials","NULL","PennController","15","_Trial_","End",1651000586033,"IT ONLY","exhausted_it","trochaic_clean_3a.png","NULL"
"69",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",34,0,"fillers","NULL","PennController","39","_Trial_","Start",1651000586034,"f_norhyme","f25_f_norhyme","f25.png","NULL"
"70",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",34,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000595221,"f_norhyme","f25_f_norhyme","f25.png","IT;alt2;alt1"
"71",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",34,0,"fillers","NULL","PennController","39","_Trial_","End",1651000596205,"f_norhyme","f25_f_norhyme","f25.png","NULL"
"72",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",23,0,"fillers","NULL","PennController","28","_Trial_","Start",1651000596205,"f_rhyme","f10_f_rhyme","f10.png","NULL"
"73",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",23,0,"fillers","NULL","PennController","28","_Trial_","End",1651000604733,"f_rhyme","f10_f_rhyme","f10.png","NULL"
"74",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",6,0,"experimental-trials","NULL","PennController","11","_Trial_","Start",1651000604733,"IT ONLY","adhesive_it","iambic_clean_1b.jpg","NULL"
"75",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",6,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000612724,"IT ONLY","adhesive_it","iambic_clean_1b.jpg","Yes;No"
"76",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",6,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000614089,"IT ONLY","adhesive_it","iambic_clean_1b.jpg","IT;alt1;alt2"
"77",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",6,0,"experimental-trials","NULL","PennController","11","_Trial_","End",1651000615287,"IT ONLY","adhesive_it","iambic_clean_1b.jpg","NULL"
"78",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",20,0,"fillers","NULL","PennController","25","_Trial_","Start",1651000615288,"f_rhyme","f7_f_rhyme","f7.png","NULL"
"79",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",20,0,"fillers","NULL","PennController","25","_Trial_","End",1651000623648,"f_rhyme","f7_f_rhyme","f7.png","NULL"
"80",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",16,0,"fillers","NULL","PennController","21","_Trial_","Start",1651000623648,"f_rhyme","f3_f_rhyme","f3.png","NULL"
"81",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",16,0,"fillers","NULL","PennController","21","_Trial_","End",1651000632816,"f_rhyme","f3_f_rhyme","f3.png","NULL"
"82",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",13,0,"experimental-trials","NULL","PennController","18","_Trial_","Start",1651000632817,"ALT-IT ONLY","organized_alt","dactyl_clean_2b.jpg","NULL"
"83",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",13,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000641039,"ALT-IT ONLY","organized_alt","dactyl_clean_2b.jpg","Yes;No"
"84",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",13,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000645826,"ALT-IT ONLY","organized_alt","dactyl_clean_2b.jpg","alt1;IT;alt2"
"85",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",13,0,"experimental-trials","NULL","PennController","18","_Trial_","End",1651000646813,"ALT-IT ONLY","organized_alt","dactyl_clean_2b.jpg","NULL"
"86",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",15,0,"fillers","NULL","PennController","20","_Trial_","Start",1651000646813,"f_rhyme","f2_f_rhyme","f2.png","NULL"
"87",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",15,0,"fillers","NULL","PennController","20","_Trial_","End",1651000654956,"f_rhyme","f2_f_rhyme","f2.png","NULL"
"88",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",25,0,"fillers","NULL","PennController","30","_Trial_","Start",1651000654956,"f_rhyme","f12_f_rhyme","f12.png","NULL"
"89",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",25,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000673179,"f_rhyme","f12_f_rhyme","f12.png","alt2;alt1;IT"
"90",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",25,0,"fillers","NULL","PennController","30","_Trial_","End",1651000674645,"f_rhyme","f12_f_rhyme","f12.png","NULL"
"91",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",7,0,"experimental-trials","NULL","PennController","12","_Trial_","Start",1651000674645,"CONTROL","seasoning_control","iambic_clean_2a.png","NULL"
"92",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",7,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000683050,"CONTROL","seasoning_control","iambic_clean_2a.png","Yes;No"
"93",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",7,0,"experimental-trials","NULL","Selector","answer-alt","Selection","alt1",1651000686490,"CONTROL","seasoning_control","iambic_clean_2a.png","alt2;IT;alt1"
"94",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",7,0,"experimental-trials","NULL","PennController","12","_Trial_","End",1651000687557,"CONTROL","seasoning_control","iambic_clean_2a.png","NULL"
"95",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",26,0,"fillers","NULL","PennController","31","_Trial_","Start",1651000687558,"f_norhyme","f17_f_norhyme","f17.png","NULL"
"96",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",26,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000696872,"f_norhyme","f17_f_norhyme","f17.png","alt1;IT;alt2"
"97",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",26,0,"fillers","NULL","PennController","31","_Trial_","End",1651000698917,"f_norhyme","f17_f_norhyme","f17.png","NULL"
"98",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",19,0,"fillers","NULL","PennController","24","_Trial_","Start",1651000698917,"f_rhyme","f6_f_rhyme","f6.png","NULL"
"99",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",19,0,"fillers","NULL","PennController","24","_Trial_","End",1651000707392,"f_rhyme","f6_f_rhyme","f6.png","NULL"
"100",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",4,0,"experimental-trials","NULL","PennController","9","_Trial_","Start",1651000707393,"IT%2C ALT-IT","nostril_both","anapest_clean_3a.png","NULL"
"101",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",4,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000715460,"IT%2C ALT-IT","nostril_both","anapest_clean_3a.png","Yes;No"
"102",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",4,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000716396,"IT%2C ALT-IT","nostril_both","anapest_clean_3a.png","IT;alt2;alt1"
"103",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",4,0,"experimental-trials","NULL","PennController","9","_Trial_","End",1651000717632,"IT%2C ALT-IT","nostril_both","anapest_clean_3a.png","NULL"
"104",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",28,0,"fillers","NULL","PennController","33","_Trial_","Start",1651000717633,"f_norhyme","f19_f_norhyme","f19.png","NULL"
"105",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",28,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000728588,"f_norhyme","f19_f_norhyme","f19.png","alt1;IT;alt2"
"106",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",28,0,"fillers","NULL","PennController","33","_Trial_","End",1651000729733,"f_norhyme","f19_f_norhyme","f19.png","NULL"
"107",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",21,0,"fillers","NULL","PennController","26","_Trial_","Start",1651000729734,"f_rhyme","f8_f_rhyme","f8.png","NULL"
"108",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",21,0,"fillers","NULL","PennController","26","_Trial_","End",1651000738019,"f_rhyme","f8_f_rhyme","f8.png","NULL"
"109",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",11,0,"experimental-trials","NULL","PennController","16","_Trial_","Start",1651000738020,"CONTROL","exam_control","dactyl_clean_1a.jpg","NULL"
"110",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",11,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000746254,"CONTROL","exam_control","dactyl_clean_1a.jpg","Yes;No"
"111",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",11,0,"experimental-trials","NULL","Selector","answer-alt","Selection","alt1",1651000747953,"CONTROL","exam_control","dactyl_clean_1a.jpg","alt2;alt1;IT"
"112",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",11,0,"experimental-trials","NULL","PennController","16","_Trial_","End",1651000749182,"CONTROL","exam_control","dactyl_clean_1a.jpg","NULL"
"113",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",22,0,"fillers","NULL","PennController","27","_Trial_","Start",1651000749182,"f_rhyme","f9_f_rhyme","f9.png","NULL"
"114",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",22,0,"fillers","NULL","PennController","27","_Trial_","End",1651000758938,"f_rhyme","f9_f_rhyme","f9.png","NULL"
"115",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",38,0,"feedback","NULL","PennController","2","_Trial_","Start",1651000758938,"NULL","","",""
"116",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",38,0,"feedback","NULL","TextInput","feedback","Final","Sometimes I couldn't remember what my intuition would because I forgot the lyrics after they disappeared",1651000829158,"NULL","","",""
"117",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",38,0,"feedback","NULL","PennController","2","_Trial_","End",1651000829158,"NULL","","",""
"118",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",0,0,"consent","NULL","PennController","0","_Trial_","Start",1651000528616,"NULL","","",""
"119",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",0,0,"consent","NULL","PennController","0","_Trial_","End",1651000536223,"NULL","","",""
"120",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1651000536232,"NULL","","",""
"121",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1651000549760,"NULL","","",""
"122",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",17,0,"fillers","NULL","PennController","22","_Trial_","Start",1651000549767,"f_rhyme","f4_f_rhyme","f4.png","NULL"
"123",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",17,0,"fillers","NULL","Selector","answer-alt","Selection","alt1",1651000564202,"f_rhyme","f4_f_rhyme","f4.png","IT;alt2;alt1"
"124",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",17,0,"fillers","NULL","PennController","22","_Trial_","End",1651000566110,"f_rhyme","f4_f_rhyme","f4.png","NULL"
"125",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",33,0,"fillers","NULL","PennController","38","_Trial_","Start",1651000566115,"f_norhyme","f24_f_norhyme","f24.png","NULL"
"126",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",33,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000577859,"f_norhyme","f24_f_norhyme","f24.png","alt2;alt1;IT"
"127",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",33,0,"fillers","NULL","PennController","38","_Trial_","End",1651000579727,"f_norhyme","f24_f_norhyme","f24.png","NULL"
"128",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",2,0,"experimental-trials","NULL","PennController","7","_Trial_","Start",1651000579732,"IT ONLY","weightless_it","anapest_clean_1a.jpg","NULL"
"129",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",2,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000589437,"IT ONLY","weightless_it","anapest_clean_1a.jpg","Yes;No"
"130",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",2,0,"experimental-trials","NULL","Selector","answer-alt","Selection","IT",1651000594049,"IT ONLY","weightless_it","anapest_clean_1a.jpg","alt2;alt1;IT"
"131",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",2,0,"experimental-trials","NULL","PennController","7","_Trial_","End",1651000595984,"IT ONLY","weightless_it","anapest_clean_1a.jpg","NULL"
"132",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",23,0,"fillers","NULL","PennController","28","_Trial_","Start",1651000595990,"f_rhyme","f10_f_rhyme","f10.png","NULL"
"133",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",23,0,"fillers","NULL","PennController","28","_Trial_","End",1651000607314,"f_rhyme","f10_f_rhyme","f10.png","NULL"
"134",1651001072,"a324636b0d304529099de5d85d5a67e8","PennController",29,0,"fillers","NULL","PennController","34","_Trial_","Start",1651000607318,"f_norhyme","f20_f_norhyme","f20.png","NULL"
